"Name","Team","PA","wOBA","wRC+","EV","maxEV","HardHit","HardHit%","GB%","LD%","FB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","O-Contact% (pfx)","Z-Contact% (pfx)","playerid"
"Jimmy Outlaw","- - -","2191",".320","86","","","","","","","","","","","","","","","","1009909"
"Daryl Boston","- - -","2901",".320","96","","","","","","","","","","","","","","","","1001219"
"Reid Nichols","- - -","1294",".320","92","","","","","","","","","","","","","","","","1009567"
"Jim Morrison","- - -","3695",".320","97","","","","","","","","","","","","","","","","1009212"
"Lance Johnson","- - -","5800",".320","94","","","","","","","","","","","","","","","","1006482"
"Felipe Lopez","- - -","4864",".320","91","","","0","","50.3%","20.0%","29.6%","34.1%","37.3%","28.6%","13.5%","59.6%","26.9%","67.0%","91.9%","1311"
"Eddie Milner","- - -","2718",".320","97","","","","","","","","","","","","","","","","1008964"
"Salvador Perez","Royals","3893",".320","99","89.1","112.7","689","39.3%","39.1%","21.2%","39.7%","44.9%","34.6%","20.4%","17.5%","49.4%","33.1%","68.9%","90.3%","7304"
"Jimmy Walsh","- - -","2100",".320","97","","","","","","","","","","","","","","","","1013573"
"Stan Javier","- - -","5755",".320","95","","","","","","","","","","","","","","","","1006372"
"Fred Valentine","- - -","1659",".320","109","","","","","","","","","","","","","","","","1013328"
"Bill Spiers","- - -","3845",".320","93","","","","","","","","","","","","","","","","1012338"
"Mike Kingery","- - -","2282",".320","87","","","","","","","","","","","","","","","","1006928"
"Phil Todt","- - -","3765",".320","77","","","","","","","","","","","","","","","","1013098"
"Brett Lawrie","- - -","2417",".320","100","89.7","112.4","251","37.6%","46.7%","18.1%","35.3%","36.6%","34.9%","28.5%","17.9%","52.7%","29.3%","61.4%","85.9%","5247"
"Didi Gregorius","- - -","3619",".320","99","85.8","110.8","617","26.6%","39.1%","20.0%","40.9%","38.9%","36.0%","25.1%","21.3%","51.7%","27.0%","65.7%","88.2%","6012"
"Otis Clymer","- - -","1463",".320","103","","","","","","","","","","","","","","","","1002370"
"Juan Francisco","- - -","1091",".320","100","","","0","","44.2%","19.0%","36.8%","38.9%","36.8%","24.2%","18.8%","46.3%","34.9%","51.0%","81.1%","6978"
"Butch Wynegar","- - -","5067",".320","96","","","","","","","","","","","","","","","","1014308"
"Chone Figgins","- - -","5360",".320","95","","","0","","43.3%","23.2%","33.6%","34.8%","32.1%","33.1%","16.5%","62.9%","20.6%","75.7%","91.7%","1580"
